«El-Chapo	Antonio-Express-News	el,set,san,por,pgr,master,suspected
«El-Chapo	Richard-Boudreaux	el,set,san,por,pgr,master,suspected
Emma	Culiacán	el,según,vecino,montaña
Sinaloa-Tijuana	Juárez	cártel,el,de,actor,principal
Noroeste	Sandoval	discurso,publicar,de,en
Instituto-Nacional	Federalismo	el,para
Instituto-Nacional	Municipal	el,para
Insight	White-Tiger	por,revista
Insight	Jamie-Dettmer	por,revista
Debolsillo	Blancornelas	el,jesús
Debolsillo	Cártel	el,jesús
Wall-Street-Journal-«The	David-Luhnow-José	lord,drug
Héctor-Valenzuela	Sinaloa	eso,de,estar
Édgar	Chapo	hijo,el,del
Édgar	México	nuevo,pertenecer,el,generación
Édgar	Culiacán	asesinato,poco,antes,de,del
Gerardo-Maximiliano-Coronel-Razo	Manuel-Beltrán-Zepeda-«El-Caballo»	alias,jesús
Barbas	Humaya	el,en,ser,enterrar
Barbas	Culiacán	el,en,ser,enterrar
Zulema-Hernández	Chapo	acuerdo,de,con
Zulema-Hernández	Puente-Grande	tener,en,aunque
García-Ábrego	Chapo	el,como
García-Ábrego	Golfo	del,fundar
García-Ábrego	FBI	un,del,hombre,encubiertar
Ofelia-Contreras-González	Oswaldo-Benjamín-Gómez-Contreras	cocinero,dos,en,particular
«Noé-Sandoval	Rafael-González	guerra,el,debater,haber
Grisel	Edwin	hijo,que,sus,igual
Tecate	Culiacán-Mexicali	el,diseminadar,estar,por,casa
Juárez-Golfo	Chapo	se,el,haber,imaginado
Alberto-Velázquez	Tulum	de,periodista
Manuel-González-Sánchez	Entrevistas	jesús,con
Columbus	Luna	y,el,que,condado
Ramón	Arellano	el,dos,de,hermano
Ramón	Francisco	el,dos,de,hermano
Ramón	Eduardo	el,hermano
Ramón	Al	asegurar,que,parecer
Ramón	Javier	el,hermano
Ramón	Benjamín	el,morir,estar,se,hermano
Ramón	Dorada	el,quinto,se,día
Ramón	Arellano-Félix	el,hermano
Zhenli	Al	contra,en,prueba,su,ser
Tamaulipas	Juárez	ni,en,tampoco
Tamaulipas	Campeche	sin,de,ser,dificultad
Senado	Internacional	legislativo,de,sobre,junta
Senado	Narcóticos	legislativo,de,sobre,junta
Eduardo-Medina	Sinaloa	fuente,de,entrevista,con
Joaquín-Guzmán…	Joaquín-Guzmán	que,bueno,pensar
Jerry-Adler	Newsweek	role,por,drug
Ángeles	Chicago	y,el,en
Ángeles	José-Reynoso-González	dea,el,un,arrestar,traficante
Drogas	«National-Drug-Threat-Assessment	trascender,de,centro,contra,un,del,reporte
Drogas	Inteligencia	trascender,de,centro,contra,un,del,reporte
Drogas	Políticas-Nacionales	de,oficina,sobre
Drogas	Nacional	trascender,de,centro,contra,un,del,reporte
Richard-Boudreaux	Dane-Schiller	el,set,san,por,pgr,master,suspected
Richard-Boudreaux	Antonio-Express-News	el,set,san,por,pgr,master,suspected
Fernando-Henrique-Cardoso-César-Gavira	Wall-«The	drugs,por,war,streetjournal
Matamoros	Entrevistas	ciudad,en
Matamoros	Sinaloa	el,de,cárcel,tener
Matamoros	Brownsville-Texas	otro,el,lado,de,del
Matamoros	Reportaje	autor,en,del
Matamoros	Cárdenas	en,1967,nacer
Iván-Archivaldo	Chapo	detener,el,cuando
Iván-Archivaldo	Chapito	detener,el,cuando
Inteligencia	Nacional	trascender,de,centro,contra,un,del,reporte
Inteligencia	«National-Drug-Threat-Assessment	trascender,de,centro,contra,un,del,reporte
Tijuana-Amado-Carrillo	Arellano-Félix	el,mientras,hermano
Washington-Post-«Mexico	Del-Quentin-Wilber	charges,por
Washington-Post-«Mexico	Mexican	charges,por
Eréndira	Chapo	embargo,que,sin,saber
Jaime-Dettmer	Insight-«Asuntos	de,por,revista
Triángulo	Chapo	pero,bien,del,tratándose
Callejón	Cocaína	el,de
Callejón	Corona-Verbera	cada,etapa,supervisar
Fotos	Google-Earth	aéreo,de,mexicano,militar
Reynosa-Matamoros	New-York-Times-«In-Mexican	autor,en,del,reportaje
Reynosa-Matamoros	Laredo	impr,día,en,sobre,hoy
ABC-News/Nightline-«Drug	Ginger-Thompson	guerra,por
ABC-News/Nightline-«Drug	Milenio-«Los-Zetas	guerra,por
White-Tiger	Jamie-Dettmer	por,revista
Arellano-Félix…	Benjamín	el,de,hermano
Arellano-Félix…	Sinaloa	el,de,hermano
Gun-Mexican	Elliot-Spagat	seizures,cash
Forbes	Chapo	el,cuando,revista,incluir
Forbes	Guardian-«El-Chapo	narcotice,king
Forbes	Jo-Tuckman	narcotice,king
Almoloya	Juárez	el,de,patio,prisión
Astorga	Amaral	el,con,historiador
Astorga	Entrevistas	el,con,historiador
Corona-Verbera-Tribunal	Felipe	jesús,de
Corona-Verbera-Tribunal	Apelaciones	jesús,de
Michoacán	Chapo	acuerdo,de,en
Michoacán	Entrevistas	y,funcionario,residente,con
Marcos-Arturo-Mochomo	Cuernavaca	y,el
Dane-Schiller	Mexican	por,dallar
Dane-Schiller	Golfo	suspected,set,san
Dane-Schiller	Houston-Chronicle-«Cocaine-Jesus-Texas	pgr,statue
Dane-Schiller	Morning-News-«Lieutenant	por,dallar
Dane-Schiller	Antonio-Express-News	el,set,san,por,pgr,master,suspected
Dane-Schiller	Transcripciones	suspected,set,san
Chris-Kraul	«Coastal-Tijuana	el,kingpin,drug
Juárez	Chapo	representación,el,en,rival,haber,su,eliminar,ciudad,del,enviar
Juárez	Carrillo-Fuentes…	ciudad,de,alrededor
Juárez	Culiacán	2009,de,final,para,tanto
Juárez	Guzmán-Nares-Benjamín-Dosal-Rodríguez	ciudad,armar
Juárez	Entrevistas	y,funcionario,residente,con
Juárez	Luis-Carlos-Rosales	ciudad,armar
Juárez	Negros	el,ciudad,enviar
Juárez	Texas	todas,ciudad,sus,con
Juárez	Rancho-Anapra	ciudad,un,poder,ser
Juárez	Reportaje	autor,ciudad,en,del
Franco-Ríos	Arellano-Félix	y,el
Franco-Ríos	Mexicano	y,el
Caballeros	Santiago	el,colina,en,de,otra,atacar,arriba,ocasión,narcos,un,paraíso
Caballeros	Sinaloa	el,colina,en,de,otra,atacar,arriba,ocasión,narcos,un,paraíso
Caballeros	Badiraguato	en,ocasión,otra
Humaya	Culiacán	el,en,ser,enterrar
Rodolfo-Carrillo	Chapo	el,que,saber
Caborca	Mexicali	y,decir,agua
Roberto-Beltrán-Burgos-«El-Doctor»	Culiacán	detener,en
Jorge-Ramos-Pérez	Chapo	el,que,haber
Carlos	Chapo	el,cómo,lo,de,mirar,explicar,ojo
Carlos	Badiraguato	el,de,supervisa,un,obtener
Consejo	México	miembro,de,del
Consejo	Seguridad-Nacional	miembro,de,del
Mexico	Marc-Lacey	guerra,drug
Mexico	Mary-Jordan-Kevin-Sullivan	chief,police,casualty
Mexico	New-York-Times-«In	guerra,drug
Mexico	Washington-Post-«Border	chief,police,casualty
Estados-Unidos	Chapo	el,ir
Estados-Unidos	Entrevistas	funcionario,de,con
Estados-Unidos	Armadas	el,de,fuerza,comando
Estados-Unidos	Conjunto	el,de,fuerza,comando
Estados-Unidos	Sur	el,de,comando
Estados-Unidos	Estados-Unidos…	el,de,heroína,gobierno
Estados-Unidos	Agencia-Antidrogas	el,de
Estados-Unidos	Departamento	justicia,el,de,del,acuerdo,auditoría,con
Estados-Unidos	Gobierno	el,de,acusación,formal
Estados-Unidos	Departamento-Tesoro	de,del
Estados-Unidos	Cárdenas-Guillén-Ezekiel-Antonio	el,de,llamar
Estados-Unidos	México	hacer,el,más,también,tener,de,haber,culpar,internacional,cooperación,estar,tanto,y,autoridad,que,poder,se
Estados-Unidos	Reporte	auditoría,de,del
Estados-Unidos	Militares	de,ser
Estados-Unidos	Tijuana	ofrecer,posible,otra,río
Estados-Unidos	Carrillo	el,de,autoridad
Estados-Unidos	Centroamérica	funcionario,de,con
Estados-Unidos	Alfredo-Guzmán-Salazar	y,de,él
Estados-Unidos	Colombia	de,e,importar,cocaína
Estados-Unidos	Prohibición	el,de,durante,época
Beltrán-Leyva	Chapo	aliado,el,fuera,en,incluso,entre,necesario,cuanto,de,cuando,estos,y,desde,hermano,antiguo,del,separación,relación,pedirían
Beltrán-Leyva	Mario	el,hermano
Beltrán-Leyva	Héctor	el,hermano
Beltrán-Leyva	Marcos-Arturo-Alfredo	el,hermano
Beltrán-Leyva	Puente-Grande	el,pero,hermano
Vicentillo	Carrillo-Leyva	detención,el,del,y
Sergio-Ortega-Noriega	Sinaloa	historia,breve
Guadalajara	Chapo	el,de,cuando,afuera,llegar
Guadalajara	México	el,ciudad,más,segundo
Monterrey	Heriberto-Lazcano-Lazcano-«El-Lazca»	asignar,un,vez,ser
Arellano	Francisco	el,dos,de,hermano
¡Imagínese!»-Scherer	Random-House-Mondadori	julio,el,en,ocasión
¡Imagínese!»-Scherer	Máxima-Seguridad	julio,el,en,ocasión
Chapo	Guerrero	siempre,territorio,ser,al,haber,destronarían
Chapo	Güero	el,de,principio,noventa
Chapo	Mercury-Grand-Marquis	el,que,creer,vehículo
Chapo	Al	el,en,agujero,de,haber,parecer,y,abrir,año,final,se,uno
Chapo	Culiacán	el,de,estar,alcalde
Chapo	Sinaloa	el,en,regreso,verdadero,ni,ella,de,2001,mientras,quedar,capo,que,como,tanto,del,tres,siquiera,crecer,pensar,líder
Chapo	Salazar-Hernández	hijo,el,tres,tener
Chapo	Viagra	el,entrega,incluso,recibir
Chapo	Sinaloa-Carrillo	actuaría,también,entre,como,mediador
Chapo	Chapito	detener,el,cuando
Chapo	Sierra	el,de,del,fuga
Chapo	Iván-Archivaldo-Guzmán-Salazar	hijo,un,del
Chapo	Ejército	el,entre,mexicano,tanto
Chapo	Negros	el,ciudad,enviar
Chapo	Hernández	el,le,ser,escribir,muy,aunque,de,en,que,hablar,sus,carta,un,poder,probable
Chapo	Chávez	el,de,recordar,dea
Chapo	Arturo-Guzmán-Loera	hermano,del,joven
Chapo	Descripción	el,de,redacción
Chapo	Medina	decir,morar,que,incluir
Chapo	Sandoval	antecesor,como,su,el
Chapo	Llanos-Romero	el,ordenar,un,reunión
Chapo	María-Consuelo-Loera-Pérez	madre,el,del
Chapo	Griselda-Guadalupe	y,el
Chapo	Canelas	funcionar,el,allanaron,cuando,militar
Chapo	César-Iván-Archivaldo	hijo,el,tres,tener
Chapo	Badiraguato	el,en,residente,mientras,un,ofrecer,insistían
Chapo	Mazamitla	el,gente,de,estar
Chapo	Puente-Grande	el,en,enamorar,querer,escapar,de,cuando,al,ayudar,haber,día,que,con,estar,dirigir,mínimo,dificultad
Chapo	Zetas	el,ser,llegar,gente,cuando,del,como,tanto
Chapo	Golfo	el,cártel,del,ser
Chapo	Gobernación	el,haber,matar
Chapo	Allanaron	lugar,el,de,nuevo
Chapo	Tello-Peón	resultado,prometer,ordenar,volver,dar,contar,que,se
Chapo	Gustavo-Inzuna-Inzunza	el,un,como,tener
Chapo	Chito	y,el
Chapo	Zulema	el,escribir
Chapo	Brisas	el,un,casa,tener
Chapo	Arellano-Félix	pelea,el,entre
Chapo	Tijuana	y,el,mayo
Chapo	Divisaron	el,que,creer,vehículo
Chapo	Colombia	el,en,incluso,propio
Chapo	Mochomo	detener,el,especular,ser,de,pero,haber,también,que,2007,y,final,se
Chapo	Francisco-Camarena-Macías	y,el,abogado,del,él
Chapo	México	el,también,buscar,adquiriar,de,aquel,desde,grande,narcos,ranchos
Chapo	Padrino	hacer,el,le,luego,cuando,haber,al,tal,aprender,del,dar,y,visitar,como
Chapo	Mouriño	el,haber,matar
Chapo	Zambada	el,tanto,en,mientras
Internacional	Narcóticos	legislativo,de,sobre,junta
Internacional	Denise-Dresser	el,en
Internacional	Manuel-Roig-Franzia	el,en
«Savvy-Mexico	Mica-Rosenberg	cartels,reuter,drug,heirs
Amezcua	Michoacán-Lázaro-Cárdenas	el,hermano,usar
Texas	Antonio	agente,un,especial
Texas	Ralph-G.-Diaz	agente,un,especial
Félix-Gallardo	Güero	el,comenzar,para,trabajar
PRD	Ignacio-Murillo-Campoverde	otro,político
Edgardo-Buscaglia	Michael-Braun	dea,con
Edgardo-Buscaglia	Entrevistas	dea,con
PRI	México	gobernar,el,que
Milenio	Recuentos	el,homicidio,de,en
Padres	México	de,todos,se
Apelaciones	Felipe	jesús,de
Sinaloa-Michoacán	Martha-Tagle-Martínez	y,en,pgr,entrevista
Deutsche-Presse-Agentur-«Mexican	Richard-Boudreax	el,master,por
Francisco-Gómez	Osiel-Cárdenas?»	el,universal,por,ser
Francisco-Gómez	«Osiel-Cárdenas	el,universal,por,ser
Francisco-Gómez	«Cae-Osiel-Cárdenas»	el,universal,por
Francisco-Gómez	«Jorge-Tello-Peón	el,universal,evaluar
New-York-Times-«At	Mexican	convicts,jury,sin,drug
Mantas	Zetas	el,en,señalar,su,área
Comité	Reformas-Vigilancia-Gubernamentales	ante,el,de
Comité	Michael-Braun	ante,el,de
Comité	Exteriores-Senado	ante,el,de
Comité	Seguridad-Nacional	de,en,luego
Omar-«El-Comandante»-Meza	Santiago	el,de,en,correr
Wall-«The	David-Luhnow-José	lord,por,drug,streetjournal
Centroamérica	Entrevistas	funcionario,de,con
Blancornelas	Astorga-Jorge-Chabat	jesús,entrevistar,2004,con
Blancornelas	Cártel	el,jesús
Blancornelas	Jorge-Hank-Rhon	entrevistar,con
Jorge-Tello-Peón	Seguridad-Pública	encabezar,el,delegación
Martín-Amaral	Entrevistas	el,con,historiador
Armada	México	el,declaración,de
Armada	Ejército	el,declaración,de
Meza-Ortiz…	México	de,pobre
Pacífico	Jalisco	ya,poseer,también,que
Guzmán-Nares-Benjamín-Dosal-Rodríguez	Luis-Carlos-Rosales	ciudad,armar
Cobos-Raymond-Cobos	México	el,de,ser,problema
Chapito	Al	el,cabar,ser
Laredo	Zetas	pleads,guilty
Laredo	Laredo-Morning-«Osiel	pleads,guilty
Raúl-Salinas	Carrillo	fuente,vincular,ser,incluso
Raúl-Salinas	Gortari	fuente,vincular,ser,incluso
