Alberto-Bayardo-Robles	Juan-Enrique-Vascones-Hernández	detenido,el,discordante
Planeación	Nacional	el,según,del,centro,oficio
Morfín-Otero	Puente-Grande	lo,en,sucedido
Pineda-Medrano	Procuraduría	el,según,de,informe
Bartolo-Pineda-Medrano	Víctor-Manuel-Mena-Solís	detenido,el
Bartolo-Pineda-Medrano	Francisco-Cárdenas-Luque	detenido,el
Estados-Unidos	Buscaglia	el,según,de,gobierno
Estados-Unidos	Vicentillo	el,le,se,acusar
Estados-Unidos	Guatemala	le,al,pedir
Estados-Unidos	Informaciones	el,obtenidar,por,reporteros
Estados-Unidos	Chapo-Guzmán	el,según,tener,de,gobierno,llevar
Estados-Unidos	Recordó	que,ofrecer
Estados-Unidos	Departamento-Tesoro	lapso,el,ese,durante
Estados-Unidos	Emperatriz	el,de,como
Beltrán-Leyva	Chapo	el,de,organización,hermano
Beltrán-Leyva	Felipe	que,notar
Beltrán-Leyva	Ismael-Zambada-García	el,asociados,estar
Beltrán-Leyva	Mendívil	que,notar
Sergio-Rueda-Montoya	PAN	el,diputado
Presidencia	Chapo	de,que,después
Presidencia	Fox	de,que,después
Presidencia	Al	hijo,del,que,ser
Presidencia	PAN	hijo,del,que,ser
Presidencia	Semanas	de,que,después
Monterrey	César-Ibarra-Celis	viajar,e
Monterrey	Sinaloa	viajar,e
Arellano	Guadalajara	el,volaron,ese,hermano
Arellano	Tijuana	el,volaron,ese,hermano
Querétaro	Beltrán	el,de,refugio
Jamaro-Constructores-SA	CV	rico,ellas,ser
Chapo	Fox	de,que,después
Chapo	Sinaloa	territorio,de,natural,en
Chapo	Semanas	de,que,después
Chapo	Comisión-Estatal	el,de,presidente
Chapo	Alejandrina-María-Salazar-Hernández	el,antes,de
Chapo	García	que,se,informar,luego
Chapo	Durango-Héctor-González-Martínez	aquí,el,se,casar
Chapo	Buscaglia	el,según,de,equipo
Chapo	Guatemala	el,en,establecer,ser,haber,sus,dominio,capturar
Chapo	Obama	el,ser,para
Chapo	Pérez-Molina	cuando,capturar,el
Chapo	Beltrán	el,de,fuga,tras
Chapo	Zulema	el,de,cuando,yo
Chapo	Bayardo-Robles	en,que,como
Chapo	Explicaron	el,que,lograr
Chapo	Osama-Bin-Laden	el,ser,para
Chapo	Griselda-López	el,antes,de
Chapo	Guzmán-Loera	el,tras,con
Chapo	Arturo-Beltrán-Leyva	mientras,estar,preso,el
Ríos	Godínez-Cárdenas	decir,según,peraltar,que
Perú	Colombia-Ecuador	intensificar,en,su,presencia
Perú	Bolivia	intensificar,en,su,presencia
Perú	Centroamérica	intensificar,en,su,presencia
Bolivia	Colombia-Ecuador	intensificar,en,su,presencia
Bolivia	Centroamérica	intensificar,en,su,presencia
Quintero	Emilio	explicar,que,así
Peñón	Comonfort-Juan	nuevo,ideal,de,san
Archivaldo-Iván-Guzmán-Salazar	Chapito	el,mayor
PRI	Decidí	coalición,el,en,participar
Juan-José-Esparragoza-Moreno	Beltrán	otro,el,de,socio
Guatemala	Sandino-Asturias-Valenzuela	coordinador,del
Guatemala	Salvador	el,en,frontera,con
Guatemala	Chamalé	el,en,que,haber,amapola
Guatemala	Sinaloa	cártel,el,de,se
Guatemala	Santa	en,ser,semana
Camargo	Jiménez	y,delicia
Camargo	Parral	y,delicia
Camargo	Evaristo-Rentería	y,delicia
RL	CV	s,de
Francisco-Cifuentes	Chapo-Guzmán	haber,consolidar,fuerte
Marcelo-E.-Decoud	América-Latina-Caribe	director,regional,para
Vasconcelos	García-Luna	pretendieron,identificar,quienes
Estados-Unidos-Culiacán	Rigoberto-Inzunza	lugar,otros
Arellano-Félix	Güero-Palma	el,asistir,otros,entre,hermano
Julián-Ríos	Puente-Grande	y,custodio,llamar,al
Carlos-Castaño-Gil	Vicente-Castaño-Gil	el,hermano
Centroamérica	Colombia-Ecuador	intensificar,en,su,presencia
Joaquín	Chapo-Guzmán	el,para,mayo,mexicano,dirigir,gobierno,que
Joaquín	Ismael-Zambada	el,para,mayo,mexicano,dirigir,gobierno,que
Joaquín	Platiqué	después,con
Joaquín	Inalcanzable	el,para,mexicano,gobierno
Rusia	México	qué,el,seguir,beneficiar
Espitia-Hernández	Felipe	ciudad,en,al,buscar
Checo	Iván-Contreras-Keico	y,por
Checo	Chihuahua	y,por
Arturo-Beltrán	Zambada-García-Esparragoza	el,asistir,que
Arturo-Beltrán	Barbie	nuevo,de,en,un,ejecutar
Arturo-Beltrán	Laredo	nuevo,de,en,un,ejecutar
Guadalajara	Aeropuerto-Internacional	el,de
Guadalajara	Cruz-Roja	el,de,en,sala
Guadalajara	Tijuana	el,volaron,ese,hermano
Mendívil	Felipe	ordenar,le,que,notar
Mendívil	Arturo-Beltrán-Leyva	ordenar,le,que,notar
Laredo	Barbie	nuevo,de,en,un,ejecutar
Tavira	Juan-Pablo	lado,de,al,trabajar
Tavira	Castillo	lado,de,al,trabajar
Griselda-López-Pérez	Cerro	detenidar,ser
Griselda-López-Pérez	Guzmán-Loera	el,de,ser,detenidar
Corcovado	Cristo	un,ahí,se,instalar,pensar
Caballeros	Santiago	el,enviados,de,vez,su,en,ranchería,ingresar
Chapo-Guzmán	Torres-Hernández	el,también,identificar
Chapo-Guzmán	Ismael-Zambada	el,para,mayo,mexicano,dirigir,gobierno,que
Chapo-Guzmán	Cabrera	el,comisionado,ser,por
Chapo-Guzmán	Buscaglia	el,según,de,gobierno
Chapo-Guzmán	María-Patricia	el,entregar,asustadar
Chapo-Guzmán	Calderón	el,en,entrevista,afirmar
Chapo-Guzmán	Inalcanzable	el,para,mexicano,gobierno
Chapo-Guzmán	Ismael	el,comisionado,ser,por
Chapo-Guzmán	Heriberto-Lazcano	el,que,luego,reconocer
Chapo-Guzmán	Alfredo-Álvarez-Zepeda	el,su,enlace,con
Chapo-Guzmán	Triángulo-Dorado-Narcotráfico	el,del
Felipe	Cabrera-Márquez	el,banda,encabezan,rival
Felipe	Mendívil-Ibarra	jesús,de
Felipe	Arturo-Beltrán-Leyva	ordenar,le,que,notar
Felipe	César	el,fecha,precisar,sin
Tucson	Robert-Boatright	el,de,subdirector
Carrillo	José-Cruz	porque,hermano,morir
Carrillo	Édgar-Guzmán	porque,hermano,morir
Guiados	Seguridad-Pública	el,de,por,elemento
Boca	Veracruz	el,nueve,en
Héctor-Güero-Palma-Salazar	Joaquín-Guzmán-Loera	el,con,junto
Scherer	Zulema	el,de,palabra,brotar
Profe	Uribe	el,estar,desde,prófugo
Profe	México	el,que,enviar,para
